game_id,round_id,timestamp,num_alive,num_killed
4dfa22b8-f21c-40c0-bfe4-cdc516413dc0,0,,8,0
bb29874a-2070-48a6-a25e-7d3f4380589f,0,,8,0
5c4615c5-7732-45e6-b33c-45c87ae144ff,1,,7,2
1a87a7c4-feea-4e2b-b308-8a2ec236535a,1,,7,2
458a598f-6e2a-4d72-a64d-f9936a28f1cc,1,,7,2
00622173-7998-490b-926b-fc969937547f,1,,7,2
8d118a06-c817-4dfe-ab02-076744d75e58,1,,7,2
753afee7-2989-4bff-a7af-1351ead9181f,1,,7,2
4dfa22b8-f21c-40c0-bfe4-cdc516413dc0,1,,7,2
bb29874a-2070-48a6-a25e-7d3f4380589f,1,,7,2
5c4615c5-7732-45e6-b33c-45c87ae144ff,2,,6,3
1a87a7c4-feea-4e2b-b308-8a2ec236535a,2,,6,3
458a598f-6e2a-4d72-a64d-f9936a28f1cc,2,,6,3
00622173-7998-490b-926b-fc969937547f,2,,6,3
8d118a06-c817-4dfe-ab02-076744d75e58,2,,6,3
753afee7-2989-4bff-a7af-1351ead9181f,2,,6,3
4dfa22b8-f21c-40c0-bfe4-cdc516413dc0,2,,6,3
bb29874a-2070-48a6-a25e-7d3f4380589f,2,,6,3
5c4615c5-7732-45e6-b33c-45c87ae144ff,3,,6,3
1a87a7c4-feea-4e2b-b308-8a2ec236535a,3,,6,3
458a598f-6e2a-4d72-a64d-f9936a28f1cc,3,,6,3
00622173-7998-490b-926b-fc969937547f,3,,6,3
8d118a06-c817-4dfe-ab02-076744d75e58,3,,6,3
753afee7-2989-4bff-a7af-1351ead9181f,3,,6,3
4dfa22b8-f21c-40c0-bfe4-cdc516413dc0,3,,6,3
bb29874a-2070-48a6-a25e-7d3f4380589f,3,,6,3
5c4615c5-7732-45e6-b33c-45c87ae144ff,4,,6,3
1a87a7c4-feea-4e2b-b308-8a2ec236535a,4,,6,3
458a598f-6e2a-4d72-a64d-f9936a28f1cc,4,,6,3
00622173-7998-490b-926b-fc969937547f,4,,6,3
8d118a06-c817-4dfe-ab02-076744d75e58,4,,6,3
753afee7-2989-4bff-a7af-1351ead9181f,4,,6,3
4dfa22b8-f21c-40c0-bfe4-cdc516413dc0,4,,6,3
bb29874a-2070-48a6-a25e-7d3f4380589f,4,,6,3
5c4615c5-7732-45e6-b33c-45c87ae144ff,5,,6,3
1a87a7c4-feea-4e2b-b308-8a2ec236535a,5,,6,3
458a598f-6e2a-4d72-a64d-f9936a28f1cc,5,,6,3
00622173-7998-490b-926b-fc969937547f,5,,6,3
8d118a06-c817-4dfe-ab02-076744d75e58,5,,6,3
753afee7-2989-4bff-a7af-1351ead9181f,5,,6,3
4dfa22b8-f21c-40c0-bfe4-cdc516413dc0,5,,6,3
bb29874a-2070-48a6-a25e-7d3f4380589f,5,,6,3
5c4615c5-7732-45e6-b33c-45c87ae144ff,6,,6,3
1a87a7c4-feea-4e2b-b308-8a2ec236535a,6,,6,3
458a598f-6e2a-4d72-a64d-f9936a28f1cc,6,,6,3
00622173-7998-490b-926b-fc969937547f,6,,6,3
8d118a06-c817-4dfe-ab02-076744d75e58,6,,6,3
753afee7-2989-4bff-a7af-1351ead9181f,6,,6,3
4dfa22b8-f21c-40c0-bfe4-cdc516413dc0,6,,6,3
bb29874a-2070-48a6-a25e-7d3f4380589f,6,,6,3
5c4615c5-7732-45e6-b33c-45c87ae144ff,7,,6,3
1a87a7c4-feea-4e2b-b308-8a2ec236535a,7,,6,3
