game_id,round_id,agent_id,target_agent,trust_delta,timestamp
1ac50410-0d84-4087-a828-99cc2771a959,6,Agent_2,Agent_2,-20,
b5eb1045-ef58-43f9-9f3d-f88e7689e2b4,6,Agent_2,Agent_2,-20,
e6462248-9425-4193-80af-8845a880d755,6,Agent_2,Agent_2,-20,
019f597a-ea9c-45ca-afe9-7e00e3321c2a,6,Agent_2,Agent_2,-20,
cc4b2ea7-2035-4d20-ade4-9ee3e0ac2885,6,Agent_2,Agent_2,-20,
fa9afbf2-aecb-4bb2-a2a0-5b11dfc07f87,6,Agent_2,Agent_2,-20,
a0410e63-4202-4c1c-b14b-17d585949a79,6,Agent_5,Agent_2,-20,
f23264e8-aa66-4aae-95a0-ee6140925fad,6,Agent_5,Agent_2,-20,
1ac50410-0d84-4087-a828-99cc2771a959,6,Agent_5,Agent_2,-20,
b5eb1045-ef58-43f9-9f3d-f88e7689e2b4,6,Agent_5,Agent_2,-20,
e6462248-9425-4193-80af-8845a880d755,6,Agent_5,Agent_2,-20,
019f597a-ea9c-45ca-afe9-7e00e3321c2a,6,Agent_5,Agent_2,-20,
cc4b2ea7-2035-4d20-ade4-9ee3e0ac2885,6,Agent_5,Agent_2,-20,
fa9afbf2-aecb-4bb2-a2a0-5b11dfc07f87,6,Agent_5,Agent_2,-20,
a0410e63-4202-4c1c-b14b-17d585949a79,6,Agent_8,Agent_2,-20,
f23264e8-aa66-4aae-95a0-ee6140925fad,6,Agent_8,Agent_2,-20,
1ac50410-0d84-4087-a828-99cc2771a959,6,Agent_8,Agent_2,-20,
b5eb1045-ef58-43f9-9f3d-f88e7689e2b4,6,Agent_8,Agent_2,-20,
e6462248-9425-4193-80af-8845a880d755,6,Agent_8,Agent_2,-20,
019f597a-ea9c-45ca-afe9-7e00e3321c2a,6,Agent_8,Agent_2,-20,
cc4b2ea7-2035-4d20-ade4-9ee3e0ac2885,6,Agent_8,Agent_2,-20,
fa9afbf2-aecb-4bb2-a2a0-5b11dfc07f87,6,Agent_8,Agent_2,-20,
c6c21f01-4cb1-4456-8ec1-f86b8e0ee41f,3,Agent_2,Agent_2,-20,
4ad2deba-f735-4f4e-99b7-b8d8378366e8,3,Agent_2,Agent_2,-20,
5baee512-0cf0-4ecc-9a57-04144003a7cf,3,Agent_2,Agent_2,-20,
25f7c98a-d61a-4d2c-9f07-9c9af6f53316,3,Agent_2,Agent_2,-20,
dc93a6a4-81ec-41a9-a8c2-b5c765d0690e,3,Agent_2,Agent_2,-20,
8b136b89-bf67-44a2-9a4a-dd871a34e739,3,Agent_2,Agent_2,-20,
db4b8369-2f34-4e8d-a8f1-a1574742e761,3,Agent_2,Agent_2,-20,
31f7583c-cba6-4eaf-9b46-c2060d8dc780,3,Agent_2,Agent_2,-20,
c6c21f01-4cb1-4456-8ec1-f86b8e0ee41f,3,Agent_3,Agent_2,-20,
4ad2deba-f735-4f4e-99b7-b8d8378366e8,3,Agent_3,Agent_2,-20,
5baee512-0cf0-4ecc-9a57-04144003a7cf,3,Agent_3,Agent_2,-20,
25f7c98a-d61a-4d2c-9f07-9c9af6f53316,3,Agent_3,Agent_2,-20,
dc93a6a4-81ec-41a9-a8c2-b5c765d0690e,3,Agent_3,Agent_2,-20,
8b136b89-bf67-44a2-9a4a-dd871a34e739,3,Agent_3,Agent_2,-20,
db4b8369-2f34-4e8d-a8f1-a1574742e761,3,Agent_3,Agent_2,-20,
31f7583c-cba6-4eaf-9b46-c2060d8dc780,3,Agent_3,Agent_2,-20,
c6c21f01-4cb1-4456-8ec1-f86b8e0ee41f,3,Agent_4,Agent_2,20,
4ad2deba-f735-4f4e-99b7-b8d8378366e8,3,Agent_4,Agent_2,20,
5baee512-0cf0-4ecc-9a57-04144003a7cf,3,Agent_4,Agent_2,20,
25f7c98a-d61a-4d2c-9f07-9c9af6f53316,3,Agent_4,Agent_2,20,
dc93a6a4-81ec-41a9-a8c2-b5c765d0690e,3,Agent_4,Agent_2,20,
8b136b89-bf67-44a2-9a4a-dd871a34e739,3,Agent_4,Agent_2,20,
db4b8369-2f34-4e8d-a8f1-a1574742e761,3,Agent_4,Agent_2,20,
31f7583c-cba6-4eaf-9b46-c2060d8dc780,3,Agent_4,Agent_2,20,
c6c21f01-4cb1-4456-8ec1-f86b8e0ee41f,3,Agent_5,Agent_2,20,
4ad2deba-f735-4f4e-99b7-b8d8378366e8,3,Agent_5,Agent_2,20,
5baee512-0cf0-4ecc-9a57-04144003a7cf,3,Agent_5,Agent_2,20,
25f7c98a-d61a-4d2c-9f07-9c9af6f53316,3,Agent_5,Agent_2,20,
dc93a6a4-81ec-41a9-a8c2-b5c765d0690e,3,Agent_5,Agent_2,20,
8b136b89-bf67-44a2-9a4a-dd871a34e739,3,Agent_5,Agent_2,20,
db4b8369-2f34-4e8d-a8f1-a1574742e761,3,Agent_5,Agent_2,20,
31f7583c-cba6-4eaf-9b46-c2060d8dc780,3,Agent_5,Agent_2,20,
c6c21f01-4cb1-4456-8ec1-f86b8e0ee41f,3,Agent_6,Agent_2,20,
4ad2deba-f735-4f4e-99b7-b8d8378366e8,3,Agent_6,Agent_2,20,
5baee512-0cf0-4ecc-9a57-04144003a7cf,3,Agent_6,Agent_2,20,
25f7c98a-d61a-4d2c-9f07-9c9af6f53316,3,Agent_6,Agent_2,20,
dc93a6a4-81ec-41a9-a8c2-b5c765d0690e,3,Agent_6,Agent_2,20,
8b136b89-bf67-44a2-9a4a-dd871a34e739,3,Agent_6,Agent_2,20,
db4b8369-2f34-4e8d-a8f1-a1574742e761,3,Agent_6,Agent_2,20,
